"Group","Hand_Notation","Expanded_Hands"
"1","AA","[[""Ah"", ""Ad""], [""Ah"", ""Ac""], [""Ah"", ""As""], [""Ad"", ""Ac""], [""Ad"", ""As""], [""Ac"", ""As""]]"
"1","AKs","[[""Ah"", ""Kh""], [""Ad"", ""Kd""], [""Ac"", ""Kc""], [""As"", ""Ks""]]"
"1","KK","[[""Kh"", ""Kd""], [""Kh"", ""Kc""], [""Kh"", ""Ks""], [""Kd"", ""Kc""], [""Kd"", ""Ks""], [""Kc"", ""Ks""]]"
"1","QQ","[[""Qh"", ""Qd""], [""Qh"", ""Qc""], [""Qh"", ""Qs""], [""Qd"", ""Qc""], [""Qd"", ""Qs""], [""Qc"", ""Qs""]]"
"1","JJ","[[""Jh"", ""Jd""], [""Jh"", ""Jc""], [""Jh"", ""Js""], [""Jd"", ""Jc""], [""Jd"", ""Js""], [""Jc"", ""Js""]]"
"2","AK","[[""Ah"", ""Kd""], [""Ah"", ""Kc""], [""Ah"", ""Ks""], [""Ad"", ""Kh""], [""Ad"", ""Kc""], [""Ad"", ""Ks""], [""Ac"", ""Kh""], [""Ac"", ""Kd""], [""Ac"", ""Ks""], [""As"", ""Kh""], [""As"", ""Kd""], [""As"", ""Kc""]]"
"2","AQs","[[""Ah"", ""Qh""], [""Ad"", ""Qd""], [""Ac"", ""Qc""], [""As"", ""Qs""]]"
"2","AJs","[[""Ah"", ""Jh""], [""Ad"", ""Jd""], [""Ac"", ""Jc""], [""As"", ""Js""]]"
"2","KQs","[[""Kh"", ""Qh""], [""Kd"", ""Qd""], [""Kc"", ""Qc""], [""Ks"", ""Qs""]]"
"2","TT","[[""10h"", ""10d""], [""10h"", ""10c""], [""10h"", ""10s""], [""10d"", ""10c""], [""10d"", ""10s""], [""10c"", ""10s""]]"
"3","AQ","[[""Ah"", ""Qd""], [""Ah"", ""Qc""], [""Ah"", ""Qs""], [""Ad"", ""Qh""], [""Ad"", ""Qc""], [""Ad"", ""Qs""], [""Ac"", ""Qh""], [""Ac"", ""Qd""], [""Ac"", ""Qs""], [""As"", ""Qh""], [""As"", ""Qd""], [""As"", ""Qc""]]"
"3","ATs","[[""Ah"", ""10h""], [""Ad"", ""10d""], [""Ac"", ""10c""], [""As"", ""10s""]]"
"3","KJs","[[""Kh"", ""Jh""], [""Kd"", ""Jd""], [""Kc"", ""Jc""], [""Ks"", ""Js""]]"
"3","QJs","[[""Qh"", ""Jh""], [""Qd"", ""Jd""], [""Qc"", ""Jc""], [""Qs"", ""Js""]]"
"3","JTs","[[""Jh"", ""10h""], [""Jd"", ""10d""], [""Jc"", ""10c""], [""Js"", ""10s""]]"
"3","99","[[""9h"", ""9d""], [""9h"", ""9c""], [""9h"", ""9s""], [""9d"", ""9c""], [""9d"", ""9s""], [""9c"", ""9s""]]"
